no	champ	role	lane	skill	nickname	describe
1	가렌	전사, 탱커	탑, 미드	침묵	Garen, The Might of Demacia	가렌은 고유의 회복 효과로 전투를 오래 지속할 수 있는 챔피언입니다. 회복 능력은 레벨이 오를수록 강화되어 빠른 속도로 체력을 회복하게 됩니다. 궁극기로는 적에게 고정 피해를 입힐 수 있어 방어력을 무시하고 공격할 수 있습니다.
2	갈리오	탱커, 마법사	미드, 서포터	도발, 보호막, 띄우기	Galio, THE COLOSSUS	갈리오는 강력한 안티 메이지 탱커로 한순간 적군을 도발하여 팀 파이트 상황을 유리하게 만드는 챔피언입니다. 다양한 CC기와 듀란드의 방패를 이용한 탱킹력으로 아군을 보호하며 전투를 유리하게 풀어 나갈 수 있습니다. 또한, 궁극기를 이용해 위험에 처한 아군과 순식간에 합류해 전황을 바꿀 수도 있습니다.
3	갱플랭크	전사	미드, 탑	치유, 둔화	Gangplank, The Saltwater Scourge	갱플랭크는 성장할수록 급격히 강해지는 물리 공격수로, '화약통' 활용이 가장 중요한 챔피언입니다. 화약통의 선을 연결해 연쇄 폭발시키는 독특한 플레이 스타일은 다소 난이도가 있지만, 성공할 경우 적 딜러질을 순식간에 아웃 시킬수 있을정도로 강력합니다. 또, 범위 제한이 없는 광역 공격이 가능한 궁극기로 언제 어디서나 아군을 지원할 수도 있습니다.
4	그라가스	전사, 마법사	정글, 미드, 서포터	탈출, 밀치기, 둔화, 기절	Gragas, The Rabble Rouser	그라가스는 광역 공격과 진형 붕괴가 특징인 AP 챔피언입니다. 궁극기를 사용하면 상대방을 밀쳐내거나 당겨올 수 있어서 적의 진형을 무너뜨리거나 특정 상대를 빼내오는 것도 가능합니다. 몸통 박치기로 얇은 벽을 넘어 다닐 수 있습니다.
5	그레이브즈	원거리, 전사	정글	탈출, 실명, 둔화	Graves, The Outlaw	그레이브즈는 두 발 씩 충전되는 강력한 산탄형 기본 공격을 가진 챔피언입니다. 스킬과 기본 공격이 다른 원거리 챔피언에 비해 비교적 짧지만, 공격 하나하나의 피해량이 높고, 빨리 뽑기와 진정한 용기 효과를 이용해 중근거리 전투에서도 강력한 모습을 보여주는 챔피언입니다.
6	나르	전사, 원거리	탑	둔화, 탈출, 밀치기, 기절	Gnar, the Missing Link	나르는 분노를 활용하는 챔피언으로 메가 나르로 변신, 원거리와 근거리를 오가는 플레이를 펼칠 수 있습니다. 미니 나르는 뛰어난 기동성과 원거리 공격을 가할 수 있으며, 메가 나르는 강인한 체력과 CC기를 사용할 수 있습니다. 단, 플레이어가 변신할 타이밍을 잡기가 쉽지 않기 때문에 전략적인 전투를 펼치는 것이 중요합니다.
7	나미	서포터, 마법사	서포터	띄우기, 기절, 치유, 둔화	Nami, the Tidecaller	나미는 아군 원거리 AD를 보호하는데 특화된 챔피언으로 아군의 체력 회복과 동시에 적군에게 피해를 줄 수 있습니다. 또한, 버프 스킬을 보유하고 있어 아군 원거리 AD의 스펙을 상향시켜 줄 수도 있습니다. 나미의 가장 큰 강점은 멀고 넓은 사거리를 보유한 궁극기로 해당 스킬을 잘 활용하면 효과적으로 아군을 보호할 수 있습니다.
8	나서스	전사, 탱커	탑, 정글	둔화	Nasus, The Curator of the Sands	나서스는 게임 초반에는 약하지만 후반에는 엄청나게 강력해지는 성장형 챔피언입니다. 흡수의 일격을 일정 이상 쌓으면 거의 모든 챔피언을 혼자 이길 수 있는 강력한 모습을 보이게 됩니다. 다른 어떤 면보다 자신이 성장하는것이 중요합니다.
9	노틸러스	탱커, 전사	미드, 서포터	띄우기, 둔화, 보호막, 속박, 기절	Nautilus, The Titan of the Depths	노틸러스는 기본 이동 속도가 상당히 느린 대신 다수의 군중제어기를 가지고 있고 방어 스킬과 함께 다양한 광역 공격기를 가지고 있는 훌륭한 진영파괴자입니다. 특히 패시브 스킬이 뛰어나기에 세심한 컨트롤을 할 수록 효율이 좋은 챔피언이라 할 수 있습니다.
10	녹턴	암살자, 전사	정글, 미드	보호막, 공포	Nocturne, The Eternal Nightmare	녹턴은 뛰어난 물리 데미지와 공격 속도를 기반으로 적군을 불시에 습격하는 근접 공격 챔피언입니다. 빠른 공격 속도와 강력한 공격 기술들로 상대를 사냥하고 궁극기를 이용하여 적을 불시에 습격할 수 있습니다. 라인도 좋지만 정글 플레이에도 적합한 챔피언입니다.
11	누누와 월럼프	서포터, 전사	정글, 서포터	치유, 둔화, 띄우기	Nunu & Willump, the Boy and his Yeti	누누와 월럼프는 빠른 정글링이 가능한 챔피언으로 아군에게 공, 이속 버프를 제공하고 엄청난 감속 효과로 적군을 추격하는 역활을 할 수 있습니다.또한, 눈을 굴려 다수의 적을 에어본 상태로 만들 수도 있습니다. 궁극기는 매우 강력하지만, 정신 집중에 시간이 걸리기에 다른 스킬과의 연계 등이 필요합니다.
12	니달리	암살자, 서포터	정글, 미드, 서포터	탈출, 치유, 정찰	Nidalee, The Bestial Huntress	니달리는 변신형 챔피언으로 인간형 / 야수형 일때 각각 다른 능력을 가지고 있는 다용도 챔피언입니다. 인간형 일때는 주로 견제와 보조를, 야수형 일때는 적을 각개 격파하고 마무리하는 능력을 가지고 있습니다. 아이템에 따라 다양한 성향의 플레이가 가능합니다.
13	니코	마법사, 서포터	미드, 서포터	속박, 기절, 둔화, 보호막	Neeko, the Curious Chameleon	니코는 변칙적인 플레이가 특기인 마법사 챔피언입니다. 패시브 스킬을 활용하면 원하는 순간, 아군의 모습으로 변신하여 적을 속이는 전술을 사용할 수 있습니다. 이 외에도 다수의 적을 속박할 수 있는 스킬과 광역 스턴을 유발하는 궁극기를 보유하여 활용하기에 따라 전황을 바꿀 수 있는 챔피언입니다.
14	다리우스	전사, 탱커	탑, 미드	둔화	Darius, The Hand of Noxus	다리우스는 출혈 패시브를 바탕으로 적에게 막대한 대미지를 줄 수 있는 챔피언입니다. 도끼날을 휘두르는 '학살'은 사거리 끝 부분에 맞혀야 높은 대미지를 기대할 수 있고, 추가로 체력 회복도 할 수 있습니다. 상대의 방어력을 무시하는 궁극기는 출혈 스택에 따라 대미지가 달라지므로, 적에게 출혈을 잘 쌓아가는 것이 중요합니다.
15	다이애나	마법사, 암살자	미드, 정글	띄우기, 보호막	Diana, Scorn of the Moon	다이애나는 근접형 AP챔피언으로 육성 방법에 따라 강력한 순간 대미지로 적을 암살하거나 팀의 탱커로 활약할 수 있습니다. 초승달 검기와 월광 쇄도,서늘한 달빛 검을 이용하면 순간적으로 엄청난 대미지를 줄 수 있습니다.다이애나는 정글러의 역할도 수행할 수 있습니다.
16	드레이븐	원거리	봇	밀치기, 둔화	Draven, The Glorious Executioner	드레이븐은 강력한 원거리 딜러로 되돌아 오는 회전 도끼라는 독특한 스타일을 가진 챔피언입니다. 초반부터 강력한 대미지를 낼 수 있지만 난전 상황에서 회전 도끼를 사용하는 것이 어려운만큼 숙련도가 필요한 챔피언이기도 합니다.
17	라이즈	마법사, 전사	탑, 미드	속박, 치유	Ryze, The Rogue Mage	라이즈는 스킬 연계를 통해 다수의 적을 공격하는 AP 챔피언으로 주문력을 올리면 최대 마나가 증가하고, 마나의 양에 따라 추가 피해를 입힙니다. 과부하의 쿨타임은 룬 감옥과 주문 흐름을 사용하면 초기화되어 긴밀한 연계를 가능하게 해줍니다. 궁극기를 사용하면 자신을 포함한 주변 모든 아군이 먼 곳으로 이동할 수 있습니다.
18	라칸	서포터, 마법사	서포터	띄우기, 치유, 보호막, 도박	Rakan, The Charmer	라칸은 기동성이 매우 두드러지는 챔피언입니다. 눈 깜짝할 새에 위험한 상황을 오가며 적을 와해시키고 보호막과 회복으로 아군에게 힘을 실어줄수 있습니다. 치명적인 무도로 적을 교란함과 동시에 매혹하는 것이 가장 좋은 라칸 플레이 방법일 것입니다.
19	람머스	탱커, 전사	탑, 정글	밀치기, 도발, 둔화	Rammus, The Armordillo	람머스는 빠른 정글링이 가능하고 엄청난 이속으로 다른 라인을 습격할 수 있는 탱커형 챔피언입니다. 엄청난 이동속도를 바탕으로 라인을 습격하고 다른 라인을 견제하다 합류할 수 있는 능력이 있습니다. 적에게 자신이 받은 데미지를 반사할 수 있습니다.
21	럭스	마법사, 서포터	미드, 서포터	정찰, 둔화, 속박, 보호막	Lux, The Lady of Luminosity	럭스는 마법사 챔피언으로 상당한 데미지를 낼 수 있지만 성장에 따라 서포터의 역할을 하기도 합니다. 궁극기인 최후의 섬광은 상당한 데미지와 함께 엄청난 사정거리를 가지고 있기 때문에 도주하는 적을 저격하거나 버프를 훔쳐올 수 있습니다.
12	럼블	전사, 마법사	탑, 미드, 서포터	보호막, 둔화	Rumble, The Mechanized Menace	럼블은 상대 진영을 파괴할 수 있는 강력한 범위 지속 궁극기를 가진 챔피언입니다. AP 챔피언이면서 평타 사거리가 짧은 럼블은 열수치라는 독특한 시스템을 활용합니다. 열수치 상태에 따라 스킬을 더 강하게 사용할 수 있습니다.
13	레넥톤	전사, 탱커	탑, 미드	탈출, 치유, 기절	Renekton, The Butcher of the Sands	레넥톤은 강력한 공격력과 체력으로 상대방을 압도하는 챔피언으로 주로 아군 맨앞에 서게 됩니다. 마나가 아닌 분노를 사용하는 챔피언으로 분노가 쌓이면 기술들의 성능이 더욱 강회되는 특징이 있습니다.
14	레오나	탱커, 서포터	서포터	둔화, 기절	Leona, The Radiant Dawn	레오나는 탱커형 챔피언으로 상대방을 봉쇄하고 아군의 딜량을 높이는 능력을 가지고 있습니다. 여러가지 상태 이상 능력들과 햇빛 패시브을 이용하여 같은 라인에 있는 아군 챔피언을 도울 수 있습니다.
15	렉사이	전사	정글	띄우기, 정찰, 탈출	Rek'Sai, the Void Burrower	렉사이는 터널을 사용하는 독특한 메커니즘을 보유한 정글 사냥꾼입니다. 터널을 연결하여 사용하면, 연결된 터널로 빠르게 이동 할 수 있습니다. 이를 통해 기존 정글러와는 차별화된 갱킹 루트를 설계할 수 있습니다. 여기에 강력한 군중 제어기도 보유, 강력한 갱킹이 가능하며, 팀 파이트에서도 크게 활약 할 수 있습니다.
16	렝가	전사, 암살자	탑, 정글	치유, 둔화, 속박, 은신	Rengar, the Pridestalker	렝가는 근접 공격 챔피언으로 마나가 아닌 야성이라는 독특한 기술 체계를 가지고 있습니다.렝가는 수풀 속에서 먼 거리에 있는 적에게 돌진할 수 있으며 순간적으로 엄청난 대미지를 줄 수 있습니다.은신 능력과 스킬 연계가 중요합니다.
17	루시안	원거리	봇	탈출	Lucian, the Purifier	루시안은 쌍권총을 사용하는 원거리 챔피언입니다. 끈질긴 추격를 이용하여 모든 둔화 효과를 제거할 수 있으며, 상대방에게 급속도로 접근하거나 지형을 넘어 도주할 수 있어서 높은 생존력을 자랑합니다. 궁극기인 빛의 심판은 시전 후 공격 방향 전환이 불가능하지만 시전 후 자유롭게 이동이 가능합니다.
18	룰루	서포터, 마법사	미드, 서포터	띄우기, 보호막, 둔화	Lulu, The Fae Sorceress	룰루는 감속, 변이, 시야 공유 등다양한 방해 스킬을 가지고 있습니다.또 요정인 픽스를 이용하여 다양한 각도에서 스킬을 발사하며 궁극기를 사용하면 순간적으로 위기에 빠진 아군을 구해줄 수 있습니다.패시브 능력과 기본 대미지가 우수하기 때문에 공격형으로 쓸 수도 있습니다.
19	르블랑	암살자, 마법사	미드	탈출, 둔화, 속박, 은신	LeBlanc, The Deceiver	르블랑은 암살형 AP 챔피언으로 하나의 대상에게 엄청난 순간 데미지를 줄 수 있는 능력이 있습니다. 모든 스킬이 두 번째 효과를 가지고 있어서 기술들의 연계 콤보에 따라 다양한 상황을 만들어낼 수 있습니다. 주로 강력한 적 딜러를 암살하는 역할을 하게 됩니다.
20	리 신	전사, 암살자	정글, 미드	탈출, 밀치기, 보호막, 둔화	Lee Sin, The Blind Monk	리 신은 근접 공격 챔피언으로 상당히 조작하기는 힘들지만 숙달되면 어떤 챔피언도 상대할 수 있는 강력한 능력을 가지고 있습니다. 리 신은 기력을 사용하는 챔피언으로 모든 기술들이 두 번째 특별 효과를 가지고 있습니다.
21	리븐	전사, 암살자	탑, 미드	기절, 탈출, 보호막, 띄우기	Riven, The Exile	리븐은 기술 연계기와 기본 공격으로 지속적인 데미지를 줄 수 있는 챔피언입니다. 모든 기술을 코스트 없이 사용할 수 있으며 아이템에 따라 탱커로도 딜러로도 성장할 수 있습니다. 궁극기를 사용하면 공격력이 엄청나게 증가하게 됩니다.
22	리산드라	마법사	미드, 탑	둔화, 속박, 기절, 탈출, 치유	Lissandra, the Ice Witch	리산드라는 강력한 CC기를 보유한 챔피언 입니다. 얼음파편 스킬과 얼음갈퀴 길 스킬은 라인전에서 유용하게 활용할 수 있습니다. 또한, 경우에 따라 스턴 혹은 생존용으로 사용 가능한 궁극기 덕분에 팀파이트에서 높은 존재감을 가지고 있습니다.
23	마스터 이	암살자, 전사	정글	치유	Master Yi, The Wuju Bladesman	마스터 이는 전형적인 근접 딜러로 순간 폭딜 능력과 빠른 접근 / 도주가 가능한 물리 공격 챔피언입니다. 강력한 공격력을 가지고 있는 대신 체력이 적기 때문에 전투시 자신의 체력과 적의 공격을 항상 신경써야 합니다. 혼자 성장하기 쉬운 정글에서 주로 사용됩니다.
24	마오카이	탱커, 마법사	탑, 정글, 서포터	밀치기, 정찰, 보호막, 속박	Maokai, The Twisted Treant	마오카이는 AP 탱킹 챔피언으로 상황에 따라 다양한 성장이 가능한 캐릭터 입니다. 묘목을 이용하여 적진을 정찰하거나 지뢰처럼 데미지를 줄 수 있고 궁극기를 사용하면 다수의 적에게 피해를 입히며 속박까지 걸어 무력화시킬 수 있습니다.
25	말자하	마법사, 암살자	미드, 서폿	침묵, 제압	Malzahar, The Prophet of the void	말자하는 마법사 챔피언으로 강력한 라인 장악력과 적을 한순간에 제압하는 능력을 가지고 있습니다. 전투시 빠르게 불어나는 공허충은 상대를 곤란하게 합니다. 궁극기인 황천의 손아귀를 사용하여 강력한 상대 하나를 제압하는 것만으로도 큰 역할을 하게 되는 챔피언입니다.
26	말파이트	탱커, 전사	탑, 미드, 서포터	띄우기, 보호막, 둔화, 탈출	Malphite, The Shard of the Monolith	말파이트는 탱커형 챔피언으로 기본 보호막과 공격형 스킬로 적을 압박하는 능력을 가지고 있습니다. 궁극기를 사용하여 팀 파이트를 유리하게 유도할 수 있고 상대방의 딜링 챔피언들을 방해하는 역할을 할 수 있습니다.
27	모데카이저	전사, 마법사	탑, 미드	보호막	Mordekaiser, The Iron Revenant	모데카이저는 강력한 근접 AP 챔피언입니다. 원거리에서 일방적으로 공격 당할 수 있지만, 끌어 당기는 스킬과 적을 일정 범위에 가두는 궁극기를 활용하여 1:1 교전을 강요할 수 있습니다.
28	모르가나	마법사, 서포터	미드, 서포터	보호막, 둔화, 속박, 기절, 치유	Morgana, The Fallen	모르가나는 아군을 보조하고 상대방을 봉쇄하며 강력한 광역 데미지를 줄 수 있는 만능형 마법사 입니다. 칠흑의 방패를 사용하여 적의 방해 기술을 무효화하고 패시브를 이용하여 안정적인 라인 유지를 할 수 있습니다. 궁극기는 데미지와 진형 파괴 효과를 동시에 줄 수 있습니다.
29	문도 박사	전사, 탱커	탑, 정글	둔화, 치유	Dr. Mundo, The Madman of Zaun	문도 박사는 강력한 재생 능력을 가지고 있는 챔피언입니다. 문도는 마나 대신 체력을 사용하며 상대의 체력에 비례해서 데미지를 줄 수 있는 기술을 가지고 있습니다. 궁극기를 사용하면 순간적으로 많은양의 체력이 회복되어 탁월한 전장 복귀 능력을 보여주는 챔피언입니다.
30	미스 포츈	원거리	미드, 봇, 서포터	둔화	Miss Fortune, The Bounty Hunter	미스 포츈은 상대방을 압박하여 성장을 방해하는 원거리 챔피언으로 초반에 강력한 모습을 보입니다. 패시브 기술인 활보와 공격 스킬들을 사용하여 빠르게 적을 견제하고 도주할 수 있습니다.
31	바드	서포터	서포터	치유, 둔화, 기절	Bard, the Wandering Caretaker	바드는 로밍에 특화된 챔피언입니다. 패시브 스킬을 통해 맵 곳곳에 등장하는 고대의 종을 획득하여 바드를 강화시킬 수 있습니다. 또한, 신비한 차원문을 이용하여 아군과 함께 벽을 넘어다니거나, 궁극기를 통해 범위 내 모든 유닛을 순간적으로 무적 상태로 만드는 등의 전략적인 플레이가 가능합니다.
32	바루스	원거리	미드, 봇	둔화, 속박	Varus, The Arrow of Retribution	바루스는 긴 스킬 사거리로 상대방에게 강력한 견제를 할 수 있는 원거리 챔피언입니다.궁극기로 챔피언 하나를 봉쇄할 수 있으며 근처에 또 다른 적에게 전염시킬 수 있습니다.강력한 대미지와 궁극기로 적을 봉쇄시킬 수 있지만 생존기가 부족한 단점도 가지고 있습니다.
33	바이	전사, 암살자	정글	보호막, 제압, 탈출, 밀치기	Vi, the Piltover Enforcer	바이는 적 진형을 파고드는데 특출난 챔피언으로, 딜탱 포지션이 갖추어야할 돌진기와 군중제어기를 고루 갖츤 챔피언입니다. 특히 돌진스킬인 금고 부수기는 벽을 넘을 수 있기 때문에 생존기로도 사용가능하며, 궁극기와 혼용한다면 순식간에 상대방 캐리에게 접근이 가능합니다.
34	베이가	마법사, 서포터	미드, 서포터	기절	Veigar, The Tiny Master of Evil	베이가는 AP누커로 사건의 지평선을 사용하여 상대를 기절시킨 뒤 암흑 물질, 사악한 일격으로 데미지를 주고 태초의 폭발로 마무리를 합니다. 극악무도와 사악한 일격의 패시브 효과로 적에게 스킬을 적중시키거나 대상을 처치할 때 주문력이 상승하여 시간이 지날 수록 강력해지는 챔피언입니다.
35	베인	원거리, 암살자	봇, 탑	탈출, 밀치기, 은신, 기절	Vayne, The Night Hunter	베인은 원거리 딜러로 사정거리는 짧지만 강력한 공격력을 자랑하며 구르기로 적의 공격을 회피하고 벽에 적을 박아버리는 등 스타일리쉬한 플레이가 가능한 챔피언입니다. 또한, 방어력을 무시하는 은화살의 데미지 때문에 적의 탱커도 손쉽게 분쇄하는 모습을 보여줍니다.
36	벨코즈	마법사, 서포터	미드, 서포터	띄우기, 둔화, 밀치기	Vel'Koz, The Eye of the Void	벨코즈는 긴 스킬 사거리를 지닌 AP 챔피언입니다. 긴 사거리와 비교적 낮은 마나 소모량 덕분에 상대를 견제하는 능력이 탁월합니다. 대상 지정 스킬이 하나도 없어 난이도가 높은 편이지만, 모든 스킬이 광역 피해를 주기 때문에 팀 파이트에서 더욱 빛을 발하는 챔피언입니다.
37	볼리베어	전사, 탱커	탑, 정글, 서포터	공포, 치유, 던지기, 둔화	Volibear, The Thunder's Roar	볼리베어는 강력한 탱커로 강력한 체력을 가지고 있습니다. 자신의 체력이 높아질수록 강한 공격력을 낼 수 있습니다. 주위의 적들을 동시에 공격할 수 있는 스킬을 가지고 있습니다. 엄청난 재생력이 있어서 생존 능력이 뛰어납니다.
38	브라움	서포터, 탱커	서포터	띄우기, 둔화, 기절	Braum, the Heart of the Freljord	브라움은 거대한 방패로 아군을 지켜내는 최초의 순수 탱커 서포터입니다. 적의 공격으로부터 아군을 대신해 공격을 받아내거나 방패로 피해를 최소화 하는 능력이 탁월합니다. 더불어 아군과의 시너지 효과로 적을 기절시키거나 둔화 효과를 걸어 공격하는데도 뛰어난 서포터 챔피언입니다.
39	브랜드	마법사	미드, 서포터	기절	Brand, The Burning Vengeance	브랜드는 강력한 광역 공격이 가능한 AP 챔피언입니다. 패시브를 포함한 모든 스킬이 대미지를 줄 수 있는 챔피언으로 스킬 연계에 따라 상대방을 기절, 혹은 피해를 증가시키도 합니다. 단, 마나 소모가 극심하기 때문에 마나 관리가 필요합니다.
